品类,种类,类别编码,编号,品名,规格,单位,数量,进价,合计,零售价,合计,差价,毛利率
时令果蔬,国产水果,1011,500197,洛川苹果,kg,kg,0.93,0.00,0.00,13.96,12.98,12.98,100%
"  ","  ","  ",500201,海南香蕉,kg,kg,0.95,0.00,0.00,8.00,7.60,7.60,100%
"  ","  ","  ",500324,巨峰葡萄,kg,kg,1.71,0.00,0.00,24.00,41.04,41.04,100%
"  ","  ","  ",500216,哈密瓜,kg,kg,1.83,0.00,0.00,13.16,24.08,24.08,100%
"  ","  ","  ","  ","  ","  ","  ","  ",小计,0.00,"  ",85.70,85.70,100.00%
时令果蔬,进口水果,1014,500204,美国新奇士橙,kg,kg,1.24,0.00,0.00,21.80,27.03,27.03,100%
"  ","  ","  ",500547,红玫瑰苹果,kg,kg,0.84,0.00,0.00,33.79,28.38,28.38,100%
"  ","  ","  ","  ","  ","  ","  ","  ",小计,0.00,"  ",55.41,55.41,100.00%
休闲食品,零食,1111,500374,丹夫华夫饼原味,168g,包,1,0.00,0.00,12.00,12.00,12.00,100%
"  ","  ","  ",1174,长宁泡椒笋尖,100g,包,1,0.00,0.00,4.50,4.50,4.50,100%
"  ","  ","  ",795,乐事薯片黄瓜味 ,40g,袋,1,0.00,0.00,4.00,4.00,4.00,100%
"  ","  ","  ",1451,阿尔卑斯棒棒糖,10g,支,1,0.34,0.34,1.00,1.00,0.66,0.66%
"  ","  ","  ",500925,Goody谷蒂奶酪味脆皮花生豆,40g,袋,1,0.00,0.00,5.00,5.00,5.00,100%
"  ","  ","  ",1175,乖媳妇山椒凤爪,70g,包,1,0.00,0.00,3.50,3.50,3.50,100%
"  ","  ","  ",500454,旺旺小酥原味,60g,袋,1,0.00,0.00,4.50,4.50,4.50,100%
"  ","  ","  ",500878,双汇泡面拍档45g,45g,条,1,0.00,0.00,2.00,2.00,2.00,100%
"  ","  ","  ",500611,咪咪虾条,20g,包,4,0.00,0.00,0.50,2.00,2.00,100%
"  ","  ","  ",1628,胖哥天生有范槟榔,22g,包,2,7.60,15.20,10.00,20.00,4.80,0.24%
